objectid,site_name,site_categ,site_type,shape_stat,common_nam,sci_name,taxon_leve,class_name,establish,establish1,data_origi,local_id,reference,origin,origin_met,originator,last_visit,last_vis_1,last_vis_2,next_visit,last_vis_3,last_vis_4,last_vis_5,assoc_visi,assoc_site,assoc_obs,assoc_surv,field_loca,source_geo,comments,gis_acres,gis_miles,fs_unit_id,fs_unit_na,data_sourc,last_updat,site_cn,spatial_id,exempt_fro,shape_area,shape_len,canopy_cover,focal_mean,lf_sclass,EVT_GP_N,elevation,slope,aspect,TRI,TPI,geom
27592,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2020-05-28,Exact,Forest Service,SHHA - R02F03D06T53c - Deadman Creek 3,Deadman Creek,Natural,Direct,"ELIASON, JENNIFER (Experienced)",2021-06-01,2021-06-01,Exact,NA,Inactive,Usable,Reproducing,2,0,0,0,10,Point,Nest in fair condition in live uppper-slope QUEMAC. Nest height is 14.3 ft with aspect of 197 degrees. Tree height is 24.2 ft and 11.3 DBH. Site slope is 20% with aspect of 68 degrees. Nest stand is 4A QUEMAC with 18% canopy cover. Temp is 55.7 degrees F,0.078,0.039,0203,Black Hills National Forest,03,2024-01-16,d045bb7e-737b-4eab-9ebd-7be36199df1f,d045bb7e-737b-4eab-9ebd-7be36199df1f,NA,3.5197546222e-8,6.90490816164e-4,56,36,C,"Ponderosa Pine Forest, Woodland and Savanna",1302,4.290219306945801,95.58260345458984,19.125,15.375,"c(-587500.13930077, 2355278.18231229)"
30704,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2017-12-13,Exact,Forest Service,SHHA - R02F03D06T29e - Little Thompson Draw 5,Little Thompson Draw,Natural,Direct,"WATSON, EVAN (Experienced)",2020-08-18,2020-08-18,Exact,NA,Not Found,Usable,Reproducing,3,0,0,0,10,Point,Nest in poor condition in live BETPAP along drainage bottom.  Nest height is 24 ft with aspect of 202 degrees.  Nest tree is 33 ft tall with DBH of 6.3 inches.  Aspect at site is 28 degrees and slope is 3%.  nest stand is multi-storied 3A POPTRE/BETPAP w,0.078,0.039,0203,Black Hills National Forest,03,2021-02-23,752a1115-4012-45ab-8631-4cdde6b3aa61,752a1115-4012-45ab-8631-4cdde6b3aa61,NA,3.51837599695e-8,6.90311933285e-4,63,44.68000030517578,C,"Aspen Forest, Woodland, and Parkland",1819,5.489368915557861,57.88818359375,20,-9.25,"c(-613839.162178458, 2354732.86122179)"
30628,Silver ck COHA nest 2021,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-07-28,Exact,Forest Service,NA,NA,Natural,Direct,"ENOCHS, EMILY (Experienced)",2021-07-28,2021-08-28,Exact,NA,Active,Usable,Semi-Dependent or Fledgling Period,1,0,0,1,0,Point,"While conducting a NOGO survey in Silver Creek PAC, a coopers hawk nest was found with 1 fledgling and 1 adult neaby.",0.078,0.039,0517,Tahoe National Forest,00,2024-12-10,41cd1bb8-1435-4d1f-a3ef-d1bd4618c1db,41cd1bb8-1435-4d1f-a3ef-d1bd4618c1db,NA,3.27277241965e-8,6.58050680781e-4,64,65.12000274658203,B,Douglas-fir-Grand Fir-White Fir Forest and Woodland,2009,8.820199966430664,109.22157287597656,28.5,19.75,"c(-2048677.4382979, 2062283.98915927)"
33793,Glade COHA Nest C,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-08-02,Day,Forest Service,SJ-COHA-D26C,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2021-08-02,2021-08-02,Day,NA,Inactive,Usable,Semi-Dependent or Fledgling Period,1,0,0,0,0,Point,NA,0.078,0.039,0213,San Juan National Forest,02,2021-11-19,cd907c3b-31e5-466f-920e-a1630c8aa58b,cd907c3b-31e5-466f-920e-a1630c8aa58b,NA,3.2089284157e-8,6.49557231905e-4,53,46.599998474121094,B,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,2529,1.771108865737915,266.87786865234375,7.375,-4.125,"c(-1102947.22802207, 1711890.18665632)"
33501,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2017-12-14,Exact,Forest Service,SHHA - R02F03D06T31f - Simkins Draw 6,Simpkins Draw,Natural,Direct,"WATSON, EVAN (Experienced)",2020-08-25,2020-08-25,Exact,NA,Inactive,Usable,Reproducing,2,0,0,0,10,Point,Nest in excellent condition in mid-slope live PICGLA.  Nest height is 31 ft with aspect of 142 degrees.  Tree height is 37 ft with DBH o f6.8 inches. Slope at site is 27% and aspect is 350 degrees. Nest stand is two-story 3B PINPON/POPTRE/BETPAP with 75%,0.078,0.039,0203,Black Hills National Forest,03,2023-01-25,461d107a-6a8a-458f-9854-d439c7c0f9ae,461d107a-6a8a-458f-9854-d439c7c0f9ae,NA,3.51503645005e-8,6.89878075739e-4,71,65.19999694824219,D,"Ponderosa Pine Forest, Woodland and Savanna",1931,10.642104148864746,3.7685296535491943,33.375,16.125,"c(-613597.687999704, 2348291.92728395)"
475651,COHAnest2024LoJoSumacCr01,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2024-04-26,Day,Forest Service,WWNF0616_Cooper'sHawk_WMO,Nest structure found,Natural,Direct,"GAYLORD, MARIE (Experienced)",2024-06-26,2024-06-26,Day,NA,Active,Usable,Other,3,0,2,0,0,Point,"Western larch; nest is approximately 60ft up in tree; nest best visible from closed road near creek
",0.078,0.039,0616,Wallowa Whitman National Forest,00,2025-03-29,E838C62E-34EF-430B-B047-F5F175D0DEEA,E838C62E-34EF-430B-B047-F5F175D0DEEA,NA,3.62919345495e-8,7.04595884666e-4,78,61.52000045776367,C,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,1386,3.9271154403686523,309.0256652832031,14.375,-8.125,"c(-1631614.81135255, 2713444.21272086)"
36932,Raptor Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2016-06-21,Exact,Forest Service,COHA - R02F03D06T21b - Harney 2,Harney,Natural,Direct,"STOTTLER, THAWNEY (Limited Experience)",2024-06-10,2024-06-10,Exact,NA,Inactive,Usable,Reproducing,4,0,0,0,10,Point,Nest is good sized and in fair condition in a live mid-slope Pinpon.  Nest tree height is 40 ft with DBH of 11.7 in.  Nest is 30 ft high in tree at 188 degree aspect.  Slope at the site is 12% at an aspect of 46 degrees. Stand overstory is 4A Pinpon with,0.078,0.039,0203,Black Hills National Forest,03,2024-11-06,1b5dc66b-2107-4983-8f5c-54b6dd3e76bd,1b5dc66b-2107-4983-8f5c-54b6dd3e76bd,NA,3.5144331026e-8,6.89800117159e-4,57,29.440000534057617,D,"Ponderosa Pine Forest, Woodland and Savanna",1333,2.1676206588745117,305.3401184082031,12.375,11.625,"c(-589919.031241297, 2345255.62416747)"
37261,Taylor Springs COHA Nest A,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-08-10,Day,Forest Service,SJ-COHA-D29A,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2022-06-27,2022-06-27,Day,NA,Inactive,Usable,Dependent or Nestling Period,2,0,1,0,0,Point,"Nest is in medium-sized spruce, in upper third but easily visible",0.078,0.039,0213,San Juan National Forest,02,2022-06-30,73f2f30c-7112-4bfd-95e9-d8836283db38,73f2f30c-7112-4bfd-95e9-d8836283db38,NA,3.1984028654e-8,6.48154312537e-4,63,56.119998931884766,C,"Aspen Forest, Woodland, and Parkland",2828,3.1905462741851807,242.4027099609375,9.625,-1.875,"c(-1067978.07030839, 1679238.01774562)"
38704,Faulkner Creek Raptor Nest 3,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2017-01-01,Year,Forest Service,NDOW Nest ID 3672,NA,Natural,Unknown,"BAKKEN, DAVID (Experienced), FINK, MCKINZIE (Experienced)",2018-05-15,2018-05-15,Exact,NA,Inactive,Usable,Dependent or Nestling Period,2,1,0,2,0,Point,"nest details from 2018 survey visit:  nest in live aspen tree, 15"" dbh, 25' high in tree.",0.078,0.039,0417,Humboldt-Toiyabe National Forest,03,2022-01-21,4cd525ee-9275-4360-8d40-319bcc17944d,4cd525ee-9275-4360-8d40-319bcc17944d,NA,3.28052857585e-8,6.59080070517e-4,42,33.91999816894531,C,Western Riparian Woodland and Shrubland,2418,6.149998664855957,39.07938003540039,21.75,-16.75,"c(-1730449.97043983, 2005518.76178337)"
39591,Raptor Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2012-06-20,Exact,Forest Service,COHA - R02F03D06T05a - Hat Mtn. 1,Hat Mtn,Natural,Direct,"WATSON, EVAN (Experienced), LYNCH, PATRICE CRAWFORD (Experienced)",2021-06-22,2021-06-22,Exact,NA,Inactive,Usable,Reproducing,11,0,2,0,10,Point,Nest in PIPO in dense Blackbark area of stand (3C/4C SS).  Tree height 61ft. 10.8 DBH Slope as nest tree 5 degrees.  Aspect at Nest Tree 76 degrees Nest Height 43ft. Nest Aspect 68 degrees.  Located in upper 3rd  slope of drainage.  Nest is somewhat prot,0.078,0.039,0203,Black Hills National Forest,03,2021-07-01,1db27afb-7dc8-47a4-bbd9-e98bd4316985,1db27afb-7dc8-47a4-bbd9-e98bd4316985,NA,3.5275026906e-8,6.91495528444e-4,52,41.959999084472656,D,"Ponderosa Pine Forest, Woodland and Savanna",1431,6.432208061218262,78.801971435546875,19.125,-3.625,"c(-593983.579969943, 2370556.39834193)"
39707,Raptor Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2012-07-07,Exact,Non-Forest Service,COHA - R02F03D06T35a - Dutchman Creek 1,Dutchman Creek,Natural,Direct,"PRIVATE, CONSULTING FIRM (Experienced)",2020-08-13,2020-08-13,Exact,NA,Inactive,Usable,Reproducing,3,0,1,0,10,Point,From survey data (shapefiles and excel spreadsheets) provided to the FS from Power Engineers Consulting Firm.  See Northern Goshawk Surveys 2012 Report for the Black Hills Power Teckla-Osage-Rapid City 230kV Transmission Line ProjectProject Number:117390,0.078,0.039,0203,Black Hills National Forest,00,2023-08-01,0096ce47-c19c-4e4a-be8e-ba016370fb2e,0096ce47-c19c-4e4a-be8e-ba016370fb2e,NA,3.52129306085e-8,6.90689863167e-4,57,46.20000076293945,D,"Ponderosa Pine Forest, Woodland and Savanna",1900,3.2538504600524902,350.90972900390625,10,4.25,"c(-620168.610755946, 2360815.3845679)"
41169,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2020-05-26,Exact,Forest Service,SHHA - R02F03D06T53a - Deadman Creek 1,Deadman Creek,Natural,Direct,"PITZ, ANDREA JEAN (Limited Experience)",2021-06-01,2021-06-01,Exact,NA,Inactive,Usable,Reproducing,2,0,0,0,10,Point,NA,0.078,0.039,0203,Black Hills National Forest,03,2024-01-16,88225712-d1ca-42b0-b741-021fa6fc9cdd,88225712-d1ca-42b0-b741-021fa6fc9cdd,NA,3.5200253374e-8,6.90525611802e-4,44,38.31999969482422,UN,"Ponderosa Pine Forest, Woodland and Savanna",1254,5.398682594299316,223.55587768554688,19,-15.5,"c(-587266.972281664, 2355771.22714622)"
40733,Lake Canyon COHA Nests B & C,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-08-03,Day,Forest Service,SJ-COHA-D27B/C,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2021-08-03,2021-08-03,Day,NA,Inactive,Usable,Reproducing,1,0,0,0,0,Point,Two stick nests high in adjacent PIPOs. Need to mark for clarity.,0.078,0.039,0213,San Juan National Forest,02,2021-11-19,3f5af6a8-8a25-42ae-bc32-ab0515f49d2a,3f5af6a8-8a25-42ae-bc32-ab0515f49d2a,NA,3.2078460368e-8,6.49413606947e-4,51,46.279998779296875,B,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,2519,1.9086798429489136,237.38075256347656,7,3,"c(-1102863.54025059, 1709024.97521243)"
41669,Lake Canyon COHA Nest D,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-08-03,Day,Forest Service,SJ-COHA-D27D,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2021-08-03,2021-08-03,Day,NA,Inactive,Usable,Reproducing,1,0,0,0,0,Point,NA,0.078,0.039,0213,San Juan National Forest,02,2021-11-19,09bb0a9f-cf56-45d1-b444-370175fc5b1c,09bb0a9f-cf56-45d1-b444-370175fc5b1c,NA,3.2078291022e-8,6.49411170592e-4,43,44.040000915527344,E,"Aspen Forest, Woodland, and Parkland",2522,1.7914105653762817,201.03750610351563,5.625,0.875,"c(-1102836.917945, 1708967.52783186)"
45431,Trout Creek Cooper's Hawk,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2020-06-18,Day,Forest Service,Trout Creek Cooper's Hawk,NA,Natural,Direct,"KULA, CHRISTOPHER (Experienced)",2020-08-05,2020-08-05,Day,NA,Active,Usable,Semi-Dependent or Fledgling Period,3,0,3,0,10,Point,NA,0.078,0.039,0415,Caribou-Targhee National Forest,00,2021-02-23,1520b47f-f19d-4329-a202-a5ba1bf5ef78,1520b47f-f19d-4329-a202-a5ba1bf5ef78,NA,3.4716327701e-8,6.84231750924e-4,67,58.560001373291016,E,Douglas-fir Forest and Woodland,2024,16.979721069335938,82.287017822265625,53.125,5.375,"c(-1215812.47092179, 2335357.87085518)"
48728,Upper Doe COHA Nest C,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2020-06-01,Exact,Forest Service,SJ-COHA-D17C,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2021-05-13,2021-05-13,Day,NA,Inactive,Usable,Reproducing,2,0,0,0,0,Point,"Large stick nest in dense PIPO stand, excellent thermal cover. Determined to be COHA nest based on proximity to active nest and similarity to others in territory.",0.078,0.039,0213,San Juan National Forest,03,2021-11-19,4fa1a23d-1957-4929-8cfe-f4e78c87b5ab,4fa1a23d-1957-4929-8cfe-f4e78c87b5ab,NA,3.20724886235e-8,6.49333713276e-4,47,40.040000915527344,E,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,2520,2.5366830825805664,261.25384521484375,6.875,-0.625,"c(-1101407.86811707, 1707236.59946073)"
56650,Raptor Nest,Biological,Nest,CURRENT,Sharp-shinned Hawk,Accipiter striatus,Species,Birds,2020-07-13,Exact,Forest Service,SHHA - R02F03D06T57a - Silver City Sharp,Nugget Gulch,Natural,Direct,"WRIGHT, JOHN ALEXANDER (Limited Experience), PIERCE, COOPER REED (Limited Experience)",2020-07-13,2020-07-13,Exact,NA,Inactive,Usable,Reproducing,1,0,1,0,10,Point,NA,0.078,0.039,0203,Black Hills National Forest,03,2021-04-29,1a28cc0d-ff9d-4a88-8b19-afa677824e80,1a28cc0d-ff9d-4a88-8b19-afa677824e80,NA,3.5250260029e-8,6.9117418167e-4,44,42.79999923706055,D,"Ponderosa Pine Forest, Woodland and Savanna",1530,9.704813957214355,122.125,29.25,9.75,"c(-603495.955342024, 2366595.52550007)"
54980,Little Bill COHA Nest A,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2021-07-20,Day,Forest Service,SJ-COHA-D24A,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced), FREDERICK, BRIDGET (Experienced), (MIGRATED), BLM (Experienced)",2021-07-20,2021-07-20,Day,NA,Active,Usable,Dependent or Nestling Period,1,0,1,0,20,Point,"Great looking stick nest, bare twigs and good structure in canopy of PIPO, against bole.",0.078,0.039,0213,San Juan National Forest,02,2021-11-19,62a99fc1-18e8-4674-bb08-61f0619e3edb,62a99fc1-18e8-4674-bb08-61f0619e3edb,NA,3.208784378e-8,6.49538342745e-4,52,44.63999938964844,E,"Ponderosa Pine Forest, Woodland and Savanna",2514,3.063681125640869,282.724365234375,10.25,5.75,"c(-1105137.15959723, 1711802.86243116)"
74557,Raptor Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2017-03-01,Month,Forest Service,NA,Stagg Nest A,Natural,Direct,"WHEELER, JAMIE (Experienced), CLARK, TRACY (Experienced)",2018-05-31,2018-05-31,Day,NA,Inactive,Usable,Reproducing,1,0,1,0,0,Point,NA,0.078,0.039,0203,Black Hills National Forest,00,2021-02-23,73334153-5bb4-4109-8e2d-3abae239ccb5,73334153-5bb4-4109-8e2d-3abae239ccb5,NA,3.5037615204e-8,6.88414541319e-4,65,49.7599983215332,D,"Ponderosa Pine Forest, Woodland and Savanna",1664,2.175703763961792,198.9704132080078,7.375,4.625,"c(-611073.283825135, 2326313.06148885)"
84776,Upper Doe COHA Nest B,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2020-06-01,Exact,Forest Service,SJ-COHA-D17B,NA,Natural,Direct,"ROBINSON, BENJAMIN (Experienced)",2021-05-13,2021-05-13,Day,NA,Inactive,Usable,Reproducing,2,0,0,0,0,Point,"Medium sized stick nest in PIPO, provides poor thermal cover. Determined to be COHA nest based on proximity to active nest and similarity to others in territory.",0.078,0.039,0213,San Juan National Forest,03,2021-11-19,45f61598-76d3-4864-9258-942f83f65fb2,45f61598-76d3-4864-9258-942f83f65fb2,NA,3.2070155198e-8,6.49302597181e-4,34,43.31999969482422,E,"Ponderosa Pine Forest, Woodland and Savanna",2515,1.6990501880645752,209.47589111328125,5,-0.25,"c(-1101252.27958454, 1706590.06016033)"
91773,Jordan Canyon Cooper's Hawk Nest,Biological,Nest,CURRENT,Cooper's Hawk,Accipiter cooperii,Species,Birds,2020-08-10,Day,Forest Service,Jordan Canyon Coopers Hawk Nest,NA,Natural,Direct,"KULA, CHRISTOPHER (Experienced), KILBY, NICHOLAS (Experienced)",2024-08-17,2024-08-17,Day,NA,Active,Usable,Semi-Dependent or Fledgling Period,4,0,3,0,0,Point,NA,0.078,0.039,0415,Caribou-Targhee National Forest,00,2024-09-04,910b0575-c50b-4c21-8da3-5bcdf9e50ae0,910b0575-c50b-4c21-8da3-5bcdf9e50ae0,NA,3.4747525523e-8,6.84638468778e-4,65,57.7599983215332,E,Lodgepole Pine Forest and Woodland,1759,6.477119445800781,224.59933471679688,19.375,-0.625,"c(-1210870.40839353, 2340860.41127048)"
